[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
[pretrained] loaded 51 backbone tensors from /data2/chenyuxiang/code/emg2qwerty/models/generic.ckpt; 98 context tensors keep their initialization
step 5900/20000 | loss 0.7700 | lr 1.70e-04 | 2.66 it/s
step 5950/20000 | loss 0.6968 | lr 1.70e-04 | 2.54 it/s
step 6000/20000 | loss 0.6844 | lr 1.69e-04 | 2.20 it/s
[val] step 6000: mode-B CER 22.57 | mode-A CER 22.46 | conditioning gain -0.11 | loss 0.6848
step 6050/20000 | loss 0.6537 | lr 1.69e-04 | 2.19 it/s
step 6100/20000 | loss 0.8089 | lr 1.68e-04 | 2.32 it/s
step 6150/20000 | loss 0.7448 | lr 1.68e-04 | 2.40 it/s
step 6200/20000 | loss 0.6489 | lr 1.67e-04 | 3.43 it/s
step 6250/20000 | loss 0.7670 | lr 1.66e-04 | 2.86 it/s
step 6300/20000 | loss 0.7985 | lr 1.66e-04 | 2.30 it/s
step 6350/20000 | loss 0.7193 | lr 1.65e-04 | 3.32 it/s
step 6400/20000 | loss 0.6129 | lr 1.65e-04 | 2.30 it/s
step 6450/20000 | loss 0.7989 | lr 1.64e-04 | 4.08 it/s
step 6500/20000 | loss 0.7872 | lr 1.63e-04 | 2.81 it/s
step 6550/20000 | loss 0.7092 | lr 1.63e-04 | 1.87 it/s
step 6600/20000 | loss 0.6908 | lr 1.62e-04 | 2.36 it/s
step 6650/20000 | loss 0.6550 | lr 1.61e-04 | 2.44 it/s
step 6700/20000 | loss 0.7085 | lr 1.61e-04 | 3.03 it/s
step 6750/20000 | loss 0.8288 | lr 1.60e-04 | 1.88 it/s
step 6800/20000 | loss 0.6440 | lr 1.60e-04 | 1.76 it/s
step 6850/20000 | loss 0.6613 | lr 1.59e-04 | 2.13 it/s
step 6900/20000 | loss 0.7284 | lr 1.58e-04 | 3.29 it/s
step 6950/20000 | loss 0.7235 | lr 1.58e-04 | 2.74 it/s
step 7000/20000 | loss 0.7319 | lr 1.57e-04 | 2.63 it/s
step 7050/20000 | loss 0.6712 | lr 1.56e-04 | 2.70 it/s
step 7100/20000 | loss 0.7231 | lr 1.56e-04 | 3.05 it/s
step 7150/20000 | loss 0.6328 | lr 1.55e-04 | 2.20 it/s
