[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
step 13600/70000 | loss 2.0933 | lr 9.33e-04 | 3.24 it/s
step 13700/70000 | loss 2.1324 | lr 9.32e-04 | 2.47 it/s
step 13800/70000 | loss 2.1288 | lr 9.31e-04 | 2.90 it/s
step 13900/70000 | loss 2.1162 | lr 9.30e-04 | 3.04 it/s
step 14000/70000 | loss 2.0822 | lr 9.29e-04 | 3.17 it/s
step 14100/70000 | loss 2.0991 | lr 9.28e-04 | 2.26 it/s
step 14200/70000 | loss 2.1076 | lr 9.27e-04 | 3.32 it/s
step 14300/70000 | loss 2.1524 | lr 9.25e-04 | 2.22 it/s
step 14400/70000 | loss 2.0481 | lr 9.24e-04 | 2.75 it/s
step 14500/70000 | loss 2.0713 | lr 9.23e-04 | 3.41 it/s
step 14600/70000 | loss 2.1993 | lr 9.22e-04 | 2.81 it/s
step 14700/70000 | loss 2.1445 | lr 9.21e-04 | 1.99 it/s
step 14800/70000 | loss 2.1224 | lr 9.19e-04 | 2.72 it/s
step 14900/70000 | loss 2.1529 | lr 9.18e-04 | 2.55 it/s
step 15000/70000 | loss 2.0474 | lr 9.17e-04 | 3.02 it/s
[val] step 15000: mode-B CER 64.25 | mode-A CER 63.90 | conditioning gain -0.35 | loss 2.4105
step 15100/70000 | loss 2.0402 | lr 9.16e-04 | 2.69 it/s
step 15200/70000 | loss 2.0640 | lr 9.14e-04 | 2.46 it/s
step 15300/70000 | loss 2.0972 | lr 9.13e-04 | 2.18 it/s
step 15400/70000 | loss 2.0406 | lr 9.12e-04 | 2.51 it/s
step 15500/70000 | loss 2.0775 | lr 9.11e-04 | 2.89 it/s
step 15600/70000 | loss 2.0476 | lr 9.09e-04 | 2.43 it/s
step 15700/70000 | loss 2.0772 | lr 9.08e-04 | 2.26 it/s
step 15800/70000 | loss 2.0927 | lr 9.07e-04 | 3.40 it/s
step 15900/70000 | loss 2.0862 | lr 9.05e-04 | 3.03 it/s
step 16000/70000 | loss 2.0563 | lr 9.04e-04 | 2.13 it/s
step 16100/70000 | loss 2.0861 | lr 9.03e-04 | 2.25 it/s
step 16200/70000 | loss 2.1222 | lr 9.01e-04 | 2.61 it/s
step 16300/70000 | loss 2.0484 | lr 9.00e-04 | 2.85 it/s
step 16400/70000 | loss 2.0427 | lr 8.99e-04 | 3.58 it/s
step 16500/70000 | loss 2.0121 | lr 8.97e-04 | 2.78 it/s
step 16600/70000 | loss 2.1171 | lr 8.96e-04 | 2.96 it/s
step 16700/70000 | loss 2.0423 | lr 8.95e-04 | 2.74 it/s
step 16800/70000 | loss 2.0114 | lr 8.93e-04 | 3.07 it/s
step 16900/70000 | loss 2.0085 | lr 8.92e-04 | 2.48 it/s
step 17000/70000 | loss 2.0945 | lr 8.90e-04 | 2.94 it/s
step 17100/70000 | loss 2.0051 | lr 8.89e-04 | 2.77 it/s
step 17200/70000 | loss 2.0516 | lr 8.88e-04 | 3.01 it/s
step 17300/70000 | loss 1.9649 | lr 8.86e-04 | 2.74 it/s
step 17400/70000 | loss 2.0450 | lr 8.85e-04 | 2.39 it/s
step 17500/70000 | loss 1.9592 | lr 8.83e-04 | 3.37 it/s
[val] step 17500: mode-B CER 70.53 | mode-A CER 69.49 | conditioning gain -1.04 | loss 2.7873
step 17600/70000 | loss 2.0723 | lr 8.82e-04 | 2.93 it/s
step 17700/70000 | loss 2.0552 | lr 8.80e-04 | 2.65 it/s
step 17800/70000 | loss 2.0650 | lr 8.79e-04 | 2.73 it/s
step 17900/70000 | loss 2.0151 | lr 8.78e-04 | 2.64 it/s
step 18000/70000 | loss 2.0441 | lr 8.76e-04 | 1.92 it/s
step 18100/70000 | loss 2.0407 | lr 8.75e-04 | 2.63 it/s
step 18200/70000 | loss 2.0427 | lr 8.73e-04 | 2.39 it/s
step 18300/70000 | loss 2.0324 | lr 8.72e-04 | 2.28 it/s
step 18400/70000 | loss 1.9707 | lr 8.70e-04 | 2.55 it/s
step 18500/70000 | loss 1.9933 | lr 8.69e-04 | 2.17 it/s
step 18600/70000 | loss 2.0059 | lr 8.67e-04 | 2.67 it/s
step 18700/70000 | loss 2.0636 | lr 8.65e-04 | 2.73 it/s
step 18800/70000 | loss 1.9790 | lr 8.64e-04 | 2.72 it/s
step 18900/70000 | loss 1.9591 | lr 8.62e-04 | 3.03 it/s
step 19000/70000 | loss 2.0058 | lr 8.61e-04 | 2.60 it/s
step 19100/70000 | loss 1.9496 | lr 8.59e-04 | 3.01 it/s
step 19200/70000 | loss 1.9065 | lr 8.58e-04 | 2.40 it/s
step 19300/70000 | loss 2.0349 | lr 8.56e-04 | 3.18 it/s
step 19400/70000 | loss 2.0757 | lr 8.55e-04 | 2.63 it/s
step 19500/70000 | loss 1.9889 | lr 8.53e-04 | 2.97 it/s
step 19600/70000 | loss 2.0078 | lr 8.51e-04 | 3.49 it/s
step 19700/70000 | loss 2.0197 | lr 8.50e-04 | 2.50 it/s
step 19800/70000 | loss 2.0586 | lr 8.48e-04 | 2.76 it/s
step 19900/70000 | loss 1.9526 | lr 8.47e-04 | 3.26 it/s
step 20000/70000 | loss 1.9796 | lr 8.45e-04 | 2.36 it/s
[val] step 20000: mode-B CER 65.05 | mode-A CER 65.23 | conditioning gain +0.18 | loss 2.4236
step 20100/70000 | loss 1.9686 | lr 8.43e-04 | 2.57 it/s
step 20200/70000 | loss 1.9455 | lr 8.42e-04 | 2.98 it/s
step 20300/70000 | loss 1.9873 | lr 8.40e-04 | 2.17 it/s
step 20400/70000 | loss 2.0025 | lr 8.38e-04 | 2.37 it/s
